Player,Team,xA90,NPxG90_xA90,xGChain90,xGBuildup90
Ilkay Gündogan,Manchester City,0.1,0.43,0.83,0.59
Marcus Rashford,Manchester United,0.14,0.23,0.46,0.26
Nathaniel Clyne,Crystal Palace,0.0,0.0,0.3,0.3
Ashley Young,Everton,0.16,0.17,0.31,0.26
Alex McCarthy,Southampton,0.0,0.0,0.25,0.25
Kyle Walker,Manchester City,0.13,0.16,0.81,0.76
Christian Eriksen,Manchester United,0.21,0.25,0.86,0.79
Kieran Trippier,Newcastle United,0.05,0.07,0.45,0.43
Idrissa Gueye,Everton,0.0,0.16,0.42,0.26
Jack Grealish,Manchester City,0.3,0.35,0.72,0.43
Ola Aina,Nottingham Forest,0.06,0.06,0.1,0.09
Jordan Pickford,Everton,0.0,0.0,0.11,0.11
Craig Dawson,Wolverhampton Wanderers,0.01,0.09,0.28,0.28
Jonny Evans,Manchester United,0.0,0.03,0.23,0.23
Adam Smith,Bournemouth,0.01,0.01,0.08,0.08
James Ward-Prowse,"Nottingham Forest, West Ham",0.02,0.03,0.33,0.31
Kyle Walker-Peters,Southampton,0.13,0.15,0.32,0.29
Adama Traoré,Fulham,0.39,0.81,1.24,0.44
Axel Tuanzebe,Ipswich,0.12,0.17,0.33,0.22
Harry Winks,Leicester,0.21,0.22,0.43,0.42
Sam Johnstone,Wolverhampton Wanderers,0.01,0.01,0.08,0.08
Bruno Fernandes,Manchester United,0.27,0.54,0.82,0.33
Emerson,West Ham,0.07,0.26,0.46,0.23
Alisson,Liverpool,0.0,0.0,0.25,0.25
Neto,Bournemouth,0.0,0.0,0.21,0.21
Mario Lemina,Wolverhampton Wanderers,0.0,0.05,0.19,0.18
Sasa Lukic,Fulham,0.11,0.11,0.68,0.67
Emil Krafth,Newcastle United,0.02,0.03,0.29,0.29
James Tarkowski,Everton,0.01,0.04,0.13,0.13
Harry Maguire,Manchester United,0.01,0.03,0.28,0.27
Andrew Robertson,Liverpool,0.27,0.28,0.6,0.59
Abdoulaye Doucouré,Everton,0.05,0.06,0.21,0.16
Jack Stephens,Southampton,0.05,0.08,0.16,0.16
Lewis Cook,Bournemouth,0.28,0.29,0.37,0.25
Trent Alexander-Arnold,Liverpool,0.18,0.22,0.61,0.51
Lucas Digne,Aston Villa,0.11,0.16,0.24,0.21
Jefferson Lerma,Crystal Palace,0.06,0.08,0.24,0.22
Alphonse Areola,West Ham,0.0,0.0,0.12,0.12
Thomas Partey,Arsenal,0.01,0.03,0.48,0.45
Martin Odegaard,Arsenal,0.2,0.48,0.68,0.33
Issa Diop,Fulham,0.05,0.13,0.56,0.54
Bernardo Silva,Manchester City,0.25,0.46,0.57,0.3
Álex Moreno,Nottingham Forest,0.07,0.09,0.27,0.23
Emiliano Martinez,Aston Villa,0.0,0.0,0.2,0.2
Adam Armstrong,Southampton,0.01,0.08,0.16,0.08
Kepa,Bournemouth,0.0,0.0,0.09,0.09
Estupiñán,Brighton,0.05,0.07,0.13,0.13
Leon Bailey,Aston Villa,0.59,0.64,0.72,0.45
Wilfred Ndidi,Leicester,0.01,0.04,0.55,0.53
Nick Pope,Newcastle United,0.0,0.0,0.08,0.08
Declan Rice,Arsenal,0.25,0.28,0.4,0.28
Dominic Calvert-Lewin,Everton,0.01,0.52,0.42,0.01
Aaron Wan-Bissaka,West Ham,0.06,0.08,0.17,0.13
Tosin Adarabioyo,Chelsea,0.01,0.01,0.79,0.79
Aaron Ramsdale,Southampton,0.0,0.0,0.09,0.09
Ismaila Sarr,Crystal Palace,0.15,0.53,0.52,0.01
Diego Carlos,Aston Villa,0.0,0.0,0.47,0.47
Ibrahim Sangare,Nottingham Forest,0.0,0.01,0.28,0.27
Youri Tielemans,Aston Villa,0.36,0.41,0.87,0.7
Kenny Tete,Fulham,0.02,0.11,0.56,0.51
Jan Bednarek,Southampton,0.03,0.03,0.4,0.4
Charlie Taylor,Southampton,0.02,0.02,0.28,0.26
Lewis Dunk,Brighton,0.0,0.06,0.33,0.33
Ederson,Manchester City,0.0,0.0,0.19,0.19
Phil Foden,Manchester City,0.48,0.7,0.97,0.46
Jacob Murphy,Newcastle United,0.08,0.14,0.26,0.15
Orel Mangala,Everton,0.04,0.05,0.52,0.47
Will Hughes,Crystal Palace,0.11,0.19,0.29,0.17
Rodrigo Bentancur,Tottenham,0.02,0.04,1.07,1.03
Daichi Kamada,Crystal Palace,0.05,0.1,0.48,0.42
Nélson Semedo,Wolverhampton Wanderers,0.1,0.2,0.26,0.08
Nikola Milenkovic,Nottingham Forest,0.09,0.11,0.2,0.19
Pau Torres,Aston Villa,0.0,0.03,0.44,0.44
Joachim Andersen,Fulham,0.02,0.05,0.65,0.65
Jadon Sancho,Chelsea,0.33,0.36,0.66,0.32
Ben Johnson,Ipswich,0.2,0.2,0.21,0.01
Callum Hudson-Odoi,Nottingham Forest,0.15,0.24,0.54,0.34
Eddie Nketiah,Crystal Palace,0.06,0.19,0.28,0.12
Manuel Akanji,Manchester City,0.05,0.08,0.97,0.95
Trevoh Chalobah,Crystal Palace,0.02,0.12,0.12,0.11
Konstantinos Mavropanos,West Ham,0.0,0.06,0.18,0.17
Jean-Clair Todibo,West Ham,0.0,0.03,0.26,0.26
Matt Doherty,Wolverhampton Wanderers,0.04,0.08,0.44,0.41
William Saliba,Arsenal,0.0,0.0,0.35,0.35
Matz Sels,Nottingham Forest,0.0,0.0,0.09,0.09
Pedro Porro,Tottenham,0.12,0.19,0.49,0.37
Arijanet Muric,Ipswich,0.0,0.0,0.18,0.18
Mark Flekken,Brentford,0.0,0.0,0.17,0.17
Marc Cucurella,Chelsea,0.02,0.02,0.82,0.82
Mathias Jensen,Brentford,0.22,0.27,0.44,0.2
Oliver Skipp,Leicester,0.03,0.04,0.18,0.14
Cristian Romero,Tottenham,0.03,0.07,0.49,0.48
Jason Steele,Brighton,0.0,0.0,0.2,0.2
Diogo Dalot,Manchester United,0.1,0.22,0.42,0.29
Ben White,Arsenal,0.06,0.06,0.18,0.17
Max Kilman,West Ham,0.03,0.14,0.23,0.2
Caleb Okoli,Leicester,0.0,0.06,0.4,0.4
Dan Burn,Newcastle United,0.02,0.05,0.28,0.28
James Garner,Everton,0.01,0.03,0.06,0.05
Mark Travers,Bournemouth,0.0,0.0,0.08,0.08
Wesley Fofana,Chelsea,0.03,0.03,0.69,0.67
Dean Henderson,Crystal Palace,0.0,0.0,0.02,0.02
John McGinn,Aston Villa,0.04,0.09,0.47,0.41
Jean-Ricner Bellegarde,Wolverhampton Wanderers,0.12,0.17,0.32,0.17
Matthijs de Ligt,Manchester United,0.01,0.15,0.29,0.27
Caoimhin Kelleher,Liverpool,0.0,0.0,0.19,0.19
Igor Julio,Brighton,0.0,0.03,0.26,0.26
Sandro Tonali,Newcastle United,0.04,0.12,0.4,0.34
Lloyd Kelly,Newcastle United,0.16,0.22,0.31,0.16
Amad Diallo Traore,Manchester United,0.4,0.47,0.81,0.54
Tyrick Mitchell,Crystal Palace,0.09,0.09,0.19,0.1
William Smallbone,Southampton,0.08,0.17,0.47,0.43
Nicolás Domínguez,Nottingham Forest,0.0,0.18,0.07,0.04
Guido Rodríguez,West Ham,0.01,0.01,0.46,0.46
Sander Berge,Fulham,0.01,0.01,0.34,0.33
Bruno Guimarães,Newcastle United,0.11,0.17,0.4,0.26
Alexis Mac Allister,Liverpool,0.11,0.14,0.9,0.84
Chris Richards,Crystal Palace,0.0,0.04,0.22,0.22
Wout Faes,Leicester,0.0,0.1,0.22,0.21
Eberechi Eze,Crystal Palace,0.18,0.46,0.39,0.07
Kalvin Phillips,Ipswich,0.02,0.05,0.32,0.31
Jack Harrison,Everton,0.17,0.18,0.23,0.05
Dara O'Shea,Ipswich,0.0,0.06,0.23,0.23
Joël Veltman,Brighton,0.07,0.07,0.33,0.26
Iyenoma Destiny Udogie,Tottenham,0.15,0.22,0.65,0.57
Maxence Lacroix,Crystal Palace,0.12,0.15,0.08,0.06
Guglielmo Vicario,Tottenham,0.0,0.0,0.4,0.4
Mikkel Damsgaard,Brentford,0.49,0.61,0.61,0.31
Matthew Cash,Aston Villa,0.12,0.12,0.32,0.32
Leif Davis,Ipswich,0.49,0.53,0.39,0.15
Antonee Robinson,Fulham,0.04,0.07,0.66,0.61
Jacob Ramsey,Aston Villa,0.11,0.15,0.69,0.56
Rúben Dias,Manchester City,0.03,0.08,0.58,0.57
Vladimir Coufal,West Ham,0.05,0.07,0.34,0.29
Malo Gusto,Chelsea,0.01,0.09,0.55,0.48
Robert Sánchez,Chelsea,0.0,0.0,0.59,0.59
Elliot Anderson,Nottingham Forest,0.28,0.49,0.52,0.26
Kevin Schade,Brentford,0.0,0.31,0.3,0.01
Moisés Caicedo,Chelsea,0.27,0.31,0.93,0.76
Valentino Livramento,Newcastle United,0.04,0.04,0.74,0.7
Anthony Elanga,Nottingham Forest,0.03,0.07,0.07,0.05
Tim Iroegbunam,Everton,0.03,0.06,0.42,0.37
Amadou Onana,Aston Villa,0.01,0.13,0.61,0.59
David Raya,Arsenal,0.0,0.0,0.11,0.11
Kristoffer Ajer,Brentford,0.06,0.06,0.22,0.16
Vitaly Janelt,Brentford,0.25,0.26,0.48,0.22
José Sá,Wolverhampton Wanderers,0.01,0.01,0.02,0.01
Dominik Szoboszlai,Liverpool,0.01,0.27,0.9,0.64
Yerson Mosquera,Wolverhampton Wanderers,0.02,0.11,0.21,0.2
Romeo Lavia,Chelsea,0.25,0.25,0.44,0.2
Micky van de Ven,Tottenham,0.18,0.22,0.54,0.36
Lewis Hall,Newcastle United,0.3,0.3,0.64,0.42
Vitalii Mykolenko,Everton,0.1,0.1,0.36,0.27
Toti,Wolverhampton Wanderers,0.0,0.0,0.14,0.14
Omari Hutchinson,Ipswich,0.19,0.24,0.48,0.27
Noussair Mazraoui,Manchester United,0.0,0.0,0.14,0.14
Ryan Gravenberch,Liverpool,0.11,0.13,0.64,0.62
Sepp van den Berg,Brentford,0.01,0.11,0.39,0.3
Marcus Tavernier,Bournemouth,0.23,0.38,0.48,0.26
Lisandro Martínez,Manchester United,0.01,0.17,0.61,0.46
Levi Colwill,Chelsea,0.12,0.12,0.82,0.7
Kaoru Mitoma,Brighton,0.3,0.5,0.53,0.08
Jan Paul van Hecke,Brighton,0.08,0.1,0.19,0.18
Keane Lewis-Potter,Brentford,0.21,0.34,0.4,0.07
Flynn Downes,Southampton,0.13,0.24,0.5,0.36
Rico Lewis,Manchester City,0.03,0.04,0.54,0.51
Marcos Senesi,Bournemouth,0.04,0.04,0.17,0.13
André Onana,Manchester United,0.06,0.06,0.24,0.18
Santiago Bueno,Wolverhampton Wanderers,0.0,0.03,0.14,0.14
Kobbie Mainoo,Manchester United,0.16,0.18,0.38,0.2
Cody Gakpo,Liverpool,0.56,0.64,1.14,0.71
Enzo Fernández,Chelsea,0.22,0.24,0.87,0.67
Victor Kristiansen,Leicester,0.03,0.03,0.16,0.16
João Gomes,Wolverhampton Wanderers,0.04,0.06,0.11,0.05
Yasin Ayari,Brighton,0.1,0.24,0.31,0.18
Illia Zabarnyi,Bournemouth,0.0,0.05,0.25,0.25
Jurriën Timber,Arsenal,0.13,0.18,0.33,0.26
Milos Kerkez,Bournemouth,0.04,0.08,0.18,0.15
Bart Verbruggen,Brighton,0.0,0.0,0.19,0.19
Chiedozie Ogbene,Ipswich,0.03,0.03,0.03,0.0
Calvin Bassey,Fulham,0.0,0.0,0.45,0.45
